mode,load,0_resnet50-4,1_inception_v3-2,2_resnet152-2
mps-uncap,0.6,2.0896196365356445,2.748847007751465,4.76527214050293
mig,0.6,1.9081830978393555,2.7195215225219727,4.99272346496582
mps-uncap,0.7,3.573894500732422,5.85627555847168,8.072614669799805
mig,0.7,4.037380218505859,5.332350730895996,11.536359786987305
mps-uncap,0.8,4.42957878112793,10.515809059143066,19.044876098632812
mig,0.8,5.986928939819336,9.123086929321289,16.123414039611816
mps-uncap,0.9,13.483762741088867,24.70684051513672,57.5559139251709
mig,0.9,15.107154846191406,25.90012550354004,41.56970977783203
mps-uncap,1.0,153.57112884521484,103.17003726959229,665.8508777618408
mig,1.0,447.32868671417236,63.72356414794922,242.4185276031494
mps-uncap,1.1,3037.454128265381,4957.209825515747,3910.8102321624756
mig,1.1,4351.380348205566,2312.702178955078,4738.52801322937
mps-uncap,1.2,6218.303442001343,8675.85825920105,8758.341789245605
mig,1.2,6771.870851516724,5963.3469581604,6734.296083450317
mps-uncap,1.3,9264.987468719482,10615.606784820557,11525.936365127563
mig,1.3,9803.320407867432,9606.489181518555,10236.311078071594
