mode,load,0_resnet50-4,1_inception_v3-2,2_resnet152-2
mps-uncap,0.6,5.408525466918945,9.457826614379883,14.42408561706543
mig,0.6,5.465984344482422,9.411835670471191,14.426517486572267
mps-uncap,0.7,5.216836929321289,9.20867919921875,14.180850982666016
mig,0.7,5.319356918334961,9.275436401367188,14.358925819396974
mps-uncap,0.8,5.061149597167969,9.434151649475098,14.331817626953125
mig,0.8,5.243253707885743,9.025812149047852,13.987302780151367
mps-uncap,0.9,5.168676376342773,9.341621398925781,14.368486404418945
mig,0.9,5.239009857177734,9.046316146850586,14.08529281616211
mps-uncap,1.0,5.2056074142456055,9.171724319458008,14.087200164794922
mig,1.0,5.115985870361328,8.932328224182129,13.84129524230957
mps-uncap,1.1,5.097627639770508,9.351253509521484,14.281582832336426
mig,1.1,5.136728286743164,8.89897346496582,13.87333869934082
mps-uncap,1.2,5.095243453979492,9.435415267944336,14.288187026977539
mig,1.2,5.0811767578125,8.76164436340332,13.800382614135742
mps-uncap,1.3,5.18949031829834,9.142875671386719,14.299631118774414
mig,1.3,5.099058151245117,8.959054946899414,13.840913772583008
