mode,load,0_resnet50-4,1_inception_v3-2,2_resnet152-2
mps-uncap,0.6,40.71307182312012,59.77797508239746,123.99530410766602
mig,0.6,39.078712463378906,75.88815689086914,112.60032653808594
mps-uncap,0.7,73.96101951599121,79.8194408416748,116.33062362670898
mig,0.7,60.18877029418945,121.37675285339355,190.05966186523438
mps-uncap,0.8,68.88079643249512,117.48027801513672,216.74394607543945
mig,0.8,64.78524208068848,109.36713218688965,194.0453052520752
mps-uncap,0.9,117.03181266784668,235.00466346740723,383.2693099975586
mig,0.9,134.55748558044434,244.0636157989502,279.3874740600586
mps-uncap,1.0,617.368221282959,507.6258182525635,1734.771966934204
mig,1.0,939.9840831756592,327.9378414154053,713.3269309997559
mps-uncap,1.1,6198.29249382019,8664.271116256714,9030.958890914917
mig,1.1,8558.144807815552,4976.921796798706,9752.851009368896
mps-uncap,1.2,12754.203081130981,16375.826835632324,17605.644464492798
mig,1.2,13488.170862197876,11778.92017364502,15064.720153808594
mps-uncap,1.3,18463.242053985596,21080.726146697998,22323.54187965393
mig,1.3,19375.943660736084,19453.14311981201,20872.183799743652
