mode,load,0_resnet50-4,1_inception_v3-2,2_resnet152-2
mps-uncap,0.6,4.675388336181641,8.469581604003906,13.063430786132812
mig,0.6,4.912853240966797,8.594036102294922,13.492822647094727
mps-uncap,0.7,4.65703010559082,8.511781692504883,13.116121292114258
mig,0.7,4.933834075927734,8.604288101196289,13.497352600097656
mps-uncap,0.8,4.574060440063477,8.70203971862793,13.369321823120117
mig,0.8,4.911899566650391,8.527040481567383,13.325691223144531
mps-uncap,0.9,4.732847213745117,8.600711822509766,13.457059860229492
mig,0.9,4.949331283569336,8.570432662963867,13.419151306152344
mps-uncap,1.0,4.601955413818359,8.666515350341797,13.185739517211914
mig,1.0,4.87065315246582,8.523225784301758,13.281822204589844
mps-uncap,1.1,4.693746566772461,8.590936660766602,13.428449630737305
mig,1.1,4.916191101074219,8.588075637817383,13.416767120361328
mps-uncap,1.2,4.660606384277344,8.758306503295898,13.467788696289062
mig,1.2,4.815101623535156,8.43191146850586,13.32545280456543
mps-uncap,1.3,4.696130752563477,8.693933486938477,13.47804069519043
mig,1.3,4.804849624633789,8.577585220336914,13.308525085449219
