mode,load,0_resnet50-4,1_inception_v3-2,2_resnet152-2
mps-uncap,0.6,35.63976287841797,50.71520805358887,110.24689674377441
mig,0.6,34.05165672302246,67.17205047607422,98.83785247802734
mps-uncap,0.7,68.98331642150879,71.13003730773926,102.89120674133301
mig,0.7,55.106163024902344,112.63251304626465,176.31268501281738
mps-uncap,0.8,64.01181221008301,108.46829414367676,202.94523239135742
mig,0.8,59.58962440490723,99.91145133972168,180.60064315795898
mps-uncap,0.9,112.13350296020508,225.81195831298828,368.95108222961426
mig,0.9,129.53448295593262,235.23998260498047,265.4411792755127
mps-uncap,1.0,612.3507022857666,498.65055084228516,1720.9866046905518
mig,1.0,935.0616931915283,319.03791427612305,699.7053623199463
mps-uncap,1.1,6193.13383102417,8655.310153961182,9017.269849777222
mig,1.1,8553.151845932007,4968.159198760986,9739.151239395142
mps-uncap,1.2,12749.121189117432,16366.800308227539,17591.392517089844
mig,1.2,13483.060598373413,11770.262241363525,15049.299955368042
mps-uncap,1.3,18458.18853378296,21071.800708770752,22307.273626327515
mig,1.3,19370.952129364014,19440.797567367554,20856.55379295349
