mode,load,0_resnet50-4,1_inception_v3-2,2_resnet152-2
mps-uncap,0.6,4.704952239990234,8.493900299072266,13.181686401367188
mig,0.6,4.950761795043945,8.654117584228516,13.564586639404297
mps-uncap,0.7,4.708528518676758,8.55875015258789,13.200044631958008
mig,0.7,4.99272346496582,8.732080459594727,13.678312301635742
mps-uncap,0.8,4.622220993041992,8.780717849731445,13.533592224121094
mig,0.8,4.964351654052734,8.613109588623047,13.494729995727539
mps-uncap,0.9,4.799604415893555,8.756399154663086,13.641119003295898
mig,0.9,4.981040954589844,8.701086044311523,13.707637786865234
mps-uncap,1.0,4.727363586425781,8.836030960083008,13.51022720336914
mig,1.0,4.980802536010742,8.681774139404297,13.499975204467773
mps-uncap,1.1,4.835844039916992,8.970022201538086,14.032840728759766
mig,1.1,5.095005035400391,9.380578994750977,13.820886611938477
mps-uncap,1.2,4.862546920776367,8.979082107543945,13.896942138671875
mig,1.2,5.03849983215332,8.968353271484375,13.851404190063477
mps-uncap,1.3,5.0754547119140625,9.005069732666016,14.073371887207031
mig,1.3,5.063772201538086,8.903741836547852,14.044761657714844
