mode,load,0_mobilenet_v3_large-32,1_mobilenet_v3_large-32
mig,0.1,373.2239832277767,410.51027666900137
mig,0.2,691.1963441149007,804.390459678774
mig,0.3,1052.921580274945,1220.53504923355
mig,0.4,1445.2806486383517,1637.4910971327952
mig,0.5,1767.4790503162042,1972.9477225683606
mig,0.6,2166.5663524327897,2462.6698966813906
mig,0.7,2479.115815355921,2796.4659746287434
mig,0.8,2735.241492686867,3298.8035242249134
mig,0.9,3129.688681446587,3731.8020117101696
mig,1.0,3521.9754154198085,4090.214256640572
