mode,load,0_mobilenet_v3_large-32,1_mobilenet_v3_large-32
mig,0.1,9.004831314086914,7.810831069946289
mig,0.2,9.012103080749512,7.805824279785156
mig,0.3,9.008407592773438,7.803678512573242
mig,0.4,9.010553359985352,7.800817489624023
mig,0.5,9.44209098815918,8.01396369934082
mig,0.6,12.819051742553711,10.36214828491211
mig,0.7,15.526652336120605,12.471437454223633
mig,0.8,17.630696296691895,17.983436584472656
mig,0.9,29.837369918823242,30.201196670532227
mig,1.0,136.56151294708252,162.73236274719238
