mode,load,0_mobilenet_v3_large-32,1_mobilenet_v3_large-32
mig,0.1,8.178138732910146,7.107973098754884
mig,0.2,11.311082839965817,11.071813106536862
mig,0.3,16.026344299316406,14.722359180450452
mig,0.4,21.73183441162108,21.37576341629022
mig,0.5,29.5211100578308,27.57034301757813
mig,0.6,50.807762145996065,34.176149368286026
mig,0.7,61.68668985366812,40.99829673767106
mig,0.8,63.52780818939203,103.12905311584475
mig,0.9,131.17432594299316,196.124188899994
mig,1.0,359.6407556533814,386.80577993392944
