mode,load,0_mobilenet_v3_large-32,1_mobilenet_v3_large-32
mig,0.1,0.07271766662597656,0.07486343383789062
mig,0.2,4.963827133178711,4.7677993774414045
mig,0.3,7.3621511459350595,6.537652015686033
mig,0.4,9.104442596435545,8.16798210144043
mig,0.5,13.553071022033691,11.254739761352534
mig,0.6,20.281791687011726,15.754079818725588
mig,0.7,27.60801315307618,20.784425735473636
mig,0.8,34.36052799224853,43.26381683349609
mig,0.9,72.98612594604492,100.34396648406981
mig,1.0,284.94772911071783,312.90156841278076
