mode,load,0_mobilenet_v3_large-32,1_mobilenet_v3_large-32
mig,0.1,24.98912811279297,16.303062438964844
mig,0.2,28.21636199951172,25.301218032836914
mig,0.3,35.1407527923584,36.74459457397461
mig,0.4,38.95688056945801,56.896209716796875
mig,0.5,63.916921615600586,48.885345458984375
mig,0.6,99.32613372802734,65.77134132385254
mig,0.7,101.10116004943848,65.43564796447754
mig,0.8,119.2014217376709,150.76041221618652
mig,0.9,216.4621353149414,248.10361862182617
mig,1.0,424.64709281921387,430.59849739074707
