mode,load,0_inception_v3-4,1_vgg16-8,2_vgg19-16
mps-uncap,0.8,17.394185066223145,10.986328125,15.324831008911133
mps-uncap,0.9,28.676748275756836,12.543439865112305,16.28422737121582
mps-uncap,1.0,54.396867752075195,14.128446578979492,17.395973205566406
mps-uncap,0.5,12.796163558959961,5.633711814880371,11.457562446594238
mps-uncap,0.6,13.314485549926758,5.915403366088867,12.483596801757812
mps-uncap,0.7,15.114307403564453,8.27336311340332,14.248847961425781
mps-uncap,0.1,12.412548065185547,5.298852920532227,10.776996612548828
mps-uncap,0.2,11.898517608642578,5.302906036376953,10.776281356811523
mps-uncap,0.3,12.389898300170898,5.3092241287231445,10.864734649658203
mps-uncap,0.4,12.547969818115234,5.371570587158203,11.10529899597168
