mode,load,0_inception_v3-4,1_vgg16-8,2_vgg19-16
mps-uncap,0.8,168.80869865417483,92.86322593688983,119.82681035995479
mps-uncap,0.9,234.30447578430176,143.97377967834473,164.8413228988646
mps-uncap,1.0,1171.780722141265,1021.9087934494022,834.2039585113525
mps-uncap,0.5,41.76640033721924,28.449091911315925,43.559756278991706
mps-uncap,0.6,63.90394687652592,35.645127296447754,61.73302173614503
mps-uncap,0.7,92.38276481628414,58.368444442748924,82.95769214630127
mps-uncap,0.1,17.87285566329956,14.392709732055655,20.63514471054075
mps-uncap,0.2,24.552869796752926,15.132474899291992,24.155237674713128
mps-uncap,0.3,31.742515563964847,21.61884784698487,31.463479995727546
mps-uncap,0.4,37.730836868286154,23.53518486022947,37.65788078308105
