mode,load,0_densenet121-16,1_vgg11-8,2_vgg11-8
mps-uncap,0.8,24.64008331298828,5.171537399291992,5.1326751708984375
mps-uncap,0.9,35.056114196777344,5.773067474365234,5.804538726806641
mps-uncap,1.0,51.87559127807617,6.389856338500977,6.35373592376709
mps-uncap,0.5,16.775846481323242,3.4859180450439453,3.345608711242676
mps-uncap,0.6,17.280220985412598,3.7946701049804688,3.7813186645507812
mps-uncap,0.7,19.93262767791748,4.465341567993164,4.4280290603637695
mps-uncap,0.1,16.695141792297363,3.267526626586914,3.263115882873535
mps-uncap,0.2,16.573667526245117,3.262758255004883,3.2536983489990234
mps-uncap,0.3,16.715526580810547,3.250598907470703,3.247857093811035
mps-uncap,0.4,16.3576602935791,3.2689571380615234,3.2711029052734375
