mode,load,0_densenet121-8,1_densenet201-32,2_densenet201-4
mps-uncap,0.8,20.337343215942383,38.38992118835449,30.663490295410156
mps-uncap,0.9,21.594524383544922,37.023067474365234,33.09917449951172
mps-uncap,1.0,21.06022834777832,38.271427154541016,31.14604949951172
mps-uncap,0.5,20.376920700073242,37.40525245666504,29.791593551635742
mps-uncap,0.6,20.671367645263672,37.10508346557617,30.242443084716797
mps-uncap,0.7,20.75362205505371,37.67061233520508,30.222415924072266
mps-uncap,0.1,27.097225189208984,33.23221206665039,32.50622749328613
mps-uncap,0.2,21.57759666442871,35.019636154174805,35.11691093444824
mps-uncap,0.3,21.059036254882812,35.929203033447266,32.66620635986328
mps-uncap,0.4,20.73812484741211,36.966800689697266,31.8300724029541
