mode,load,0_densenet121-8,1_densenet201-32,2_densenet201-4
mps-uncap,0.8,15.119075775146484,33.39362144470215,23.114919662475586
mps-uncap,0.9,16.241908073425293,34.66057777404785,26.43585205078125
mps-uncap,1.0,16.785621643066406,36.834001541137695,26.455283164978027
mps-uncap,0.5,13.092041015625,30.017375946044922,15.43736457824707
mps-uncap,0.6,12.456297874450684,30.773162841796875,18.168210983276367
mps-uncap,0.7,13.912439346313477,32.41074085235596,21.389484405517578
mps-uncap,0.1,17.31586456298828,26.57461166381836,27.11200714111328
mps-uncap,0.2,16.89136028289795,27.65369415283203,21.286964416503906
mps-uncap,0.3,15.05887508392334,28.2667875289917,20.615577697753906
mps-uncap,0.4,13.554811477661133,29.262065887451172,19.52958106994629
