mode,load,0_densenet201-16,1_inception_v3-2,2_mobilenet_v2-4
mps-uncap,1.0,25.753979682922363,11.6166353225708,5.256891250610352
mig,1.0,30.624537467956543,9.231343269348145,4.310131072998047
