mode,load,0_densenet201-16,1_inception_v3-2,2_mobilenet_v2-4
mps-uncap,1.0,0.000476837158203125,0.000476837158203125,0.0057220458984375
mig,1.0,0.000476837158203125,0.006198883056640625,0.0050067901611328125
