mode,load,0_densenet201-16,1_inception_v3-2,2_mobilenet_v2-4
mps-uncap,1.0,730.3191618815549,203.1681998110213,933.6405634973185
mig,1.0,551.1956912265791,231.32246969830183,985.2273929565437
