mode,load,0_densenet201-16,1_inception_v3-2,2_mobilenet_v2-4
mps-uncap,1.0,21.63243293762207,9.475946426391602,4.12440299987793
mig,1.0,28.876543045043945,8.605241775512695,4.035711288452148
