mode,load,0_resnet50-8,1_efficientnet_b7-2,2_vgg13-8
mps-uncap,1.0,486.326468268858,40.08786409868386,1209.914055727299
mig,1.0,1019.5728256046231,95.06577038881775,478.5747816987455
