mode,load,0_squeezenet1_0-16,1_efficientnet_b5-4,2_squeezenet1_0-4
mps-uncap,1.0,0.000476837158203125,0.000476837158203125,0.000476837158203125
mig,1.0,0.000476837158203125,0.000476837158203125,0.000476837158203125
