mode,load,0_squeezenet1_0-16,1_efficientnet_b5-4,2_squeezenet1_0-4
mps-uncap,1.0,3268.468059074826,216.55136583735768,1111.5869028269603
mig,1.0,2448.81191311698,254.69320638819036,1424.478043293669
