mode,load,0_squeezenet1_0-16,1_efficientnet_b5-4,2_squeezenet1_0-4
mps-uncap,1.0,5.712690353393554,19.740238189697262,4.948854446411133
mig,1.0,7.777929306030273,16.560630798339844,3.4170150756835938
