mode,load,0_squeezenet1_0-16,1_efficientnet_b5-4,2_squeezenet1_0-4
mps-uncap,1.0,16.135692596435547,28.034687042236328,15.456914901733398
mig,1.0,16.92342758178711,28.14626693725586,14.673471450805664
