mode,load,0_squeezenet1_0-16,1_efficientnet_b5-4,2_squeezenet1_0-4
mps-uncap,1.0,4.808306694030762,18.506526947021484,3.609180450439453
mig,1.0,6.414890289306641,15.635490417480469,2.7570724487304688
