mode,load,0_squeezenet1_0-16,1_efficientnet_b5-4,2_squeezenet1_0-4
mps-uncap,1.0,5.7126450538635245,19.740014076232907,4.948616027832031
mig,1.0,7.777810096740723,16.56043291091919,3.4168672561645503
