mode,load,0_squeezenet1_0-16,1_efficientnet_b5-4,2_squeezenet1_0-4
mps-uncap,1.0,4.291057586669922,16.2811279296875,1.9512176513671875
mig,1.0,6.118297576904297,15.434026718139648,2.669095993041992
