mode,load,0_mobilenet_v3_small-32,1_resnet152-32,2_squeezenet1_1-2
mps-uncap,0.8,3697.7398830962215,755.8895253111352,419.6156043608015
mps-uncap,0.9,4164.7438831473555,849.9917202843845,482.97413267460735
mps-uncap,1.0,4231.641383475186,845.9886295461034,514.2063708152474
mps-uncap,0.5,2354.392423402682,494.092883726731,263.9619705674386
mps-uncap,0.6,2785.5456676764834,577.8364107950783,311.87929055637403
mps-uncap,0.7,3281.610807801582,649.611841818376,379.3721734594937
mps-uncap,0.1,465.1861136848601,89.78510548334008,54.529344438405104
mps-uncap,0.2,994.7776875142249,169.58623880160863,105.08067542027788
mps-uncap,0.3,1398.607463787429,262.84567373334977,159.60107193711576
mps-uncap,0.4,1836.58758354409,377.37066554079917,216.08496464644944
