mode,load,0_mobilenet_v3_small-32,1_resnet152-32,2_squeezenet1_1-2
mps-uncap,0.8,461.23409271240234,764.5182609558105,41.57829284667969
mps-uncap,0.9,1309.5693588256836,4279.046297073364,174.58081245422363
mps-uncap,1.0,5621.293067932129,5856.083154678345,1912.416934967041
mps-uncap,0.5,38.5134220123291,131.7880153656006,16.66259765625
mps-uncap,0.6,60.17112731933594,169.53182220458984,28.020620346069336
mps-uncap,0.7,156.40926361083984,459.46264266967773,30.717849731445312
mps-uncap,0.1,24.852752685546875,43.23220252990723,6.377935409545898
mps-uncap,0.2,28.415441513061523,48.25115203857422,10.075569152832031
mps-uncap,0.3,26.648998260498047,76.71594619750977,14.73855972290039
mps-uncap,0.4,37.15944290161133,97.2590446472168,14.96577262878418
