mode,load,0_mobilenet_v3_small-32,1_resnet152-32,2_squeezenet1_1-2
mps-uncap,0.8,56.57839775085449,120.44334411621094,5.516529083251953
mps-uncap,0.9,865.8130168914795,1529.3701887130737,39.11948204040527
mps-uncap,1.0,2594.5799350738525,2109.6363067626953,1187.8234148025513
mps-uncap,0.5,7.691860198974609,36.24081611633301,3.308415412902832
mps-uncap,0.6,8.580446243286133,47.25241661071777,3.675222396850586
mps-uncap,0.7,14.1143798828125,58.118462562561035,3.849506378173828
mps-uncap,0.1,9.72282886505127,30.193805694580078,3.948330879211426
mps-uncap,0.2,9.167194366455078,31.802892684936523,3.766298294067383
mps-uncap,0.3,8.404254913330078,32.76968002319336,3.7491321563720703
mps-uncap,0.4,7.918834686279297,34.02817249298096,3.5254955291748047
