mode,load,0_efficientnet_b6-2,1_mobilenet_v2-2,2_resnet50-4
mps-uncap,0.8,55.817604064941406,12.717819213867188,16.4980411529541
mps-uncap,0.9,149.26395416259766,26.172590255737305,32.98964500427246
mps-uncap,1.0,1583.727312088013,99.66247081756592,58.01701545715332
mps-uncap,0.5,27.023124694824215,7.239222526550293,9.531974792480469
mps-uncap,0.6,31.72469139099121,7.133007049560547,9.199357032775879
mps-uncap,0.7,37.73477077484131,9.232759475708008,10.466337203979492
mps-uncap,0.1,28.55362892150879,9.563684463500984,7.966279983520508
mps-uncap,0.2,27.808403968811035,11.18016242980957,10.117435455322266
mps-uncap,0.3,27.9472827911377,9.88841056823731,10.85638999938965
mps-uncap,0.4,26.15320682525635,9.055519104003904,11.004924774169924
