mode,load,0_efficientnet_b6-2,1_mobilenet_v2-2,2_resnet50-4
mps-uncap,0.8,9.733200073242188,2.1619796752929688,2.7837753295898438
mps-uncap,0.9,9.86337661743164,2.211332321166992,2.7832984924316406
mps-uncap,1.0,10.139226913452148,2.2275447845458984,2.838611602783203
mps-uncap,0.5,9.680509567260742,2.1936893463134766,2.7120113372802734
mps-uncap,0.6,9.82213020324707,2.179861068725586,2.7618408203125
mps-uncap,0.7,9.64665412902832,2.1924972534179688,2.7468204498291016
mps-uncap,0.1,9.983539581298828,2.2072792053222656,2.728700637817383
mps-uncap,0.2,9.974479675292969,2.190113067626953,2.785205841064453
mps-uncap,0.3,9.865283966064453,2.189159393310547,2.7527809143066406
mps-uncap,0.4,9.699344635009766,2.2025108337402344,2.7649402618408203
