mode,load,0_mobilenet_v2-32,1_mobilenet_v2-32,2_mobilenet_v2-32,3_mobilenet_v2-32
mig,0.1,184.3219041739741,185.38460261509826,190.10857732668657,94.24689268691439
mig,0.2,346.8528934174017,358.9589563216037,355.80480606266195,178.65205760456607
mig,0.3,550.633303790256,548.9358870779362,536.4889527813683,273.7252396972934
mig,0.4,717.3709327823627,731.7175506014639,717.7867792580203,378.92163328858874
mig,0.5,881.9528027956752,828.2389094861247,897.7491578658329,454.23702602479216
mig,0.6,1109.1181855071684,1119.3498315594336,1088.1885067676303,563.1723428071922
mig,0.7,1226.6151687438044,1230.6402326023565,1255.107394730129,654.1740551145282
mig,0.8,1419.804589019151,1485.9073734068786,1453.5400601042666,753.1093956459412
mig,0.9,1648.311514970597,1610.3603212331511,1625.8945875975903,867.8997751239715
mig,1.0,1820.8107781335545,1781.672746126669,1812.2425171370758,941.5182434152222
