mode,load,0_mobilenet_v2-32,1_mobilenet_v2-32,2_mobilenet_v2-32,3_mobilenet_v2-32
mig,0.1,20.220346450805586,15.721416473388667,22.16160297393799,27.287092208862283
mig,0.2,25.998888015747013,17.86096334457395,23.51855278015137,44.987344741821516
mig,0.3,27.9752254486084,36.036305427551234,30.92670440673828,49.85998630523671
mig,0.4,43.11461448669434,40.34350395202639,42.41586685180666,61.999261379241965
mig,0.5,55.52538871765139,60.82702398300174,56.614601612091064,98.78558158874515
mig,0.6,96.94910049438475,69.11869525909417,73.36589813232419,113.88444900512698
mig,0.7,91.51985645294181,101.07991695404084,103.8930320739748,192.68013477325437
mig,0.8,164.2862129211426,217.71967411041254,191.75547599792506,499.7684383392334
mig,0.9,266.6544818878174,272.6009702682498,354.76306438446056,522.4923515319824
mig,1.0,1285.3861212730403,834.4240760803222,2134.695508480072,1672.2626352310187
