mode,load,0_efficientnet_b5-16,1_mobilenet_v3_large-2,2_resnet18-32
mps-uncap,0.8,15.156269073486328,2.7811527252197266,4.148006439208984
mps-uncap,0.9,15.296697616577148,2.7501583099365234,4.14729118347168
mps-uncap,1.0,19.507408142089844,2.843141555786133,4.17780876159668
mps-uncap,0.5,15.091419219970703,2.7627944946289062,4.12750244140625
mps-uncap,0.6,15.106201171875,2.8121471405029297,4.127264022827148
mps-uncap,0.7,15.039920806884766,2.8116703033447266,4.126548767089844
mps-uncap,0.1,15.095710754394531,2.888917922973633,4.151105880737305
mps-uncap,0.2,15.009880065917969,2.7997493743896484,4.135847091674805
mps-uncap,0.3,15.076398849487305,2.816915512084961,4.131555557250977
mps-uncap,0.4,14.989137649536133,2.790212631225586,4.135608673095703
