mode,load,0_efficientnet_b5-16,1_mobilenet_v3_large-2,2_resnet18-32
mps-uncap,0.8,99.98636245727539,17.08402633666992,28.84340286254883
mps-uncap,0.9,143.67718696594238,41.133928298950195,64.89553451538087
mps-uncap,1.0,284.56664085388184,218.30585002899173,1138.4257555007932
mps-uncap,0.5,37.78080940246582,12.890911102294922,10.854864120483402
mps-uncap,0.6,42.026662826538086,13.959932327270511,13.626360893249513
mps-uncap,0.7,53.11849117279054,14.377832412719727,15.781641006469723
mps-uncap,0.1,22.87731170654297,8.179044723510742,5.477285385131838
mps-uncap,0.2,24.55916404724121,10.938239097595215,7.030439376831056
mps-uncap,0.3,29.64944839477541,12.757301330566406,7.938146591186527
mps-uncap,0.4,34.244537353515625,13.252305984497072,9.380102157592773
