mode,load,0_efficientnet_b5-16,1_mobilenet_v3_large-2,2_resnet18-32
mps-uncap,0.8,74.55217838287358,11.462116241455075,22.506809234619144
mps-uncap,0.9,117.27967262268065,34.24196243286137,57.75296688079835
mps-uncap,1.0,256.49499893188477,211.84630393981936,1131.892395019531
mps-uncap,0.5,17.256450653076183,6.70323371887207,5.23953437805176
mps-uncap,0.6,20.13013362884522,7.868480682373059,7.87105560302735
mps-uncap,0.7,30.45966625213625,8.796429634094238,9.9672794342041
mps-uncap,0.1,0.07398128509521483,0.16727447509765936,0.07557868957519531
mps-uncap,0.2,4.339194297790545,4.191923141479496,1.7858505249023446
mps-uncap,0.3,11.914777755737312,6.010174751281738,2.476119995117188
mps-uncap,0.4,14.491558074951172,6.56402111053467,4.0416717529296875
