mode,load,0_inception_v3-2,1_vgg13-2,2_vgg16-16
mps-uncap,0.8,0.011444091796875,0.009298324584960938,0.009775161743164062
mps-uncap,0.9,0.011920928955078125,0.0095367431640625,0.011920928955078125
mps-uncap,1.0,0.0133514404296875,0.0095367431640625,0.011920928955078125
mps-uncap,0.5,0.011682510375976562,0.009298324584960938,0.010013580322265625
mps-uncap,0.6,0.0095367431640625,0.009298324584960938,0.0095367431640625
mps-uncap,0.7,0.009775161743164062,0.0095367431640625,0.008821487426757812
mps-uncap,0.1,0.019073486328125,0.014066696166992188,0.013589859008789062
mps-uncap,0.2,0.015020370483398438,0.013589859008789062,0.011205673217773438
mps-uncap,0.3,0.012874603271484375,0.010967254638671875,0.01049041748046875
mps-uncap,0.4,0.012159347534179688,0.010967254638671875,0.010967254638671875
