mode,load,0_alexnet-2,1_densenet161-4,2_densenet169-8
mps-uncap,0.8,1.4941692352294922,20.116376876831055,17.83134937286377
mps-uncap,0.9,1.4164447784423828,19.94466781616211,17.379093170166016
mps-uncap,1.0,1.5726089477539062,17.428159713745117,19.982528686523438
mps-uncap,0.5,1.3290405273437504,17.847394943237305,18.65561008453369
mps-uncap,0.6,1.3737678527832031,18.792390823364258,18.268465995788574
mps-uncap,0.7,1.4324188232421875,19.40333843231201,17.93966293334961
mps-uncap,0.1,1.4042854309082031,29.642772674560547,30.855417251586914
mps-uncap,0.2,1.3880729675292969,20.259761810302734,20.752620697021484
mps-uncap,0.3,1.3728141784667969,19.324970245361328,19.78580951690674
mps-uncap,0.4,1.3172864913940434,18.670177459716797,19.11711692810059
