mode,load,0_alexnet-2,1_densenet161-4,2_densenet169-8
mps-uncap,0.8,321.8644857406616,1286.717414855957,279.17609214782715
mps-uncap,0.9,2925.0794649124146,4987.3809814453125,876.6575813293457
mps-uncap,1.0,11521.8510389328,4716.525411605835,10957.309246063232
mps-uncap,0.5,2.9808044433593754,48.68974685668947,54.920172691345215
mps-uncap,0.6,4.396772384643555,66.92242622375488,67.8838968276978
mps-uncap,0.7,8.092904090881348,103.74414920806885,114.63189125061037
mps-uncap,0.1,1.741409301757813,30.027294158935547,31.42504692077637
mps-uncap,0.2,2.1581649780273438,30.35929203033448,32.35130310058594
mps-uncap,0.3,2.3061513900756836,33.33437442779541,34.221529960632324
mps-uncap,0.4,2.4458646774292028,40.3517246246338,37.55702972412111
