mode,load,0_alexnet-2,1_densenet161-4,2_densenet169-8
mps-uncap,0.8,381.7363977432251,1376.3166046142576,457.21333026885964
mps-uncap,0.9,3093.307399749756,5522.510385513306,1022.779731750488
mps-uncap,1.0,12527.46770143509,5304.511117935181,12237.701454162596
mps-uncap,0.5,4.335651397705073,65.28545856475812,71.28391027450559
mps-uncap,0.6,7.16767311096191,175.01962184905997,148.1237292289735
mps-uncap,0.7,14.144659042358398,156.19387626647926,225.1081943511963
mps-uncap,0.1,1.4315414428710938,27.40156173706055,33.482513427734354
mps-uncap,0.2,2.261638641357422,26.579942703247067,31.090950965881344
mps-uncap,0.3,2.550811767578126,35.18467664718632,32.48591661453241
mps-uncap,0.4,3.219778537750244,51.74389600753783,38.95266056060796
