mode,load,0_alexnet-2,1_densenet161-4,2_densenet169-8
mps-uncap,0.8,2.3830533027648926,21.32341384887695,18.528242111206055
mps-uncap,0.9,2.1461129188537607,20.921707153320312,17.97556161880492
mps-uncap,1.0,2.3540043830871573,17.86081075668335,20.51950454711914
mps-uncap,0.5,2.129631042480468,19.10547256469726,19.83490705490112
mps-uncap,0.6,2.206077575683592,19.81978416442871,19.331080913543705
mps-uncap,0.7,2.307536602020264,20.31689882278442,18.721537590026852
mps-uncap,0.1,1.677861213684081,30.547034740448012,31.48181915283203
mps-uncap,0.2,1.8231868743896484,29.454553127288815,30.591068267822266
mps-uncap,0.3,1.7997646331787132,21.41564130783081,21.351640224456766
mps-uncap,0.4,2.0560574531555176,19.95323896408081,20.5046558380127
