mode,load,0_alexnet-2,1_densenet161-4,2_densenet169-8
mps-uncap,0.8,1620.2364546917217,208.22181252101157,423.9782450432813
mps-uncap,0.9,1757.2939616204553,214.52104086182402,457.06660307825103
mps-uncap,1.0,1579.376455008803,235.65319466863136,414.2309873245778
mps-uncap,0.5,1031.2386243106785,126.22239996778286,259.811810846897
mps-uncap,0.6,1203.3319823026375,157.61672758216744,301.7630252410869
mps-uncap,0.7,1373.6877262807322,184.2993975499542,367.4258309597991
mps-uncap,0.1,212.64204199776614,25.377479302599017,50.1943400789649
mps-uncap,0.2,408.1320139615662,51.594592111104475,98.92927101375915
mps-uncap,0.3,619.3459299021226,80.55000055911692,152.01244795747425
mps-uncap,0.4,804.480869805244,104.9900783898228,198.04729308076782
