mode,load,0_alexnet-2,1_densenet161-4,2_densenet169-8
mps-uncap,0.8,1.1565685272216797,19.34051513671875,17.665743827819824
mps-uncap,0.9,1.073598861694336,18.345355987548828,17.018437385559082
mps-uncap,1.0,1.1806488037109375,16.888737678527832,19.41680908203125
mps-uncap,0.5,0.9324550628662109,17.021894454956055,17.7309513092041
mps-uncap,0.6,1.0139942169189453,17.310380935668945,17.69113540649414
mps-uncap,0.7,1.0935068130493164,17.948508262634277,17.629623413085938
mps-uncap,0.1,1.3070106506347656,19.511938095092773,19.98448371887207
mps-uncap,0.2,1.2967586517333984,18.039226531982422,18.684864044189453
mps-uncap,0.3,1.0548830032348633,17.392754554748535,18.073201179504395
mps-uncap,0.4,0.9975433349609375,17.13252067565918,17.503023147583008
