mode,load,0_alexnet-2,1_densenet161-4,2_densenet169-8
mps-uncap,0.8,400.21753311157227,1478.8403511047363,502.3002624511719
mps-uncap,0.9,3112.178087234497,5668.587923049927,1109.766960144043
mps-uncap,1.0,12624.067783355713,5376.844882965088,12468.15276145935
mps-uncap,0.5,9.672164916992188,103.41119766235352,126.06239318847656
mps-uncap,0.6,16.018152236938477,253.10778617858887,179.19921875
mps-uncap,0.7,22.99809455871582,213.79542350769043,294.8648929595947
mps-uncap,0.1,3.964662551879883,49.17764663696289,48.11286926269531
mps-uncap,0.2,5.326032638549805,31.765222549438477,47.17087745666504
mps-uncap,0.3,5.112171173095703,47.821044921875,40.91167449951172
mps-uncap,0.4,8.623361587524414,85.8461856842041,69.00525093078613
