mode,load,0_alexnet-2,1_densenet161-4,2_densenet169-8
mps-uncap,0.8,3.576040267944336,22.296428680419922,19.9127197265625
mps-uncap,0.9,4.145383834838867,22.147655487060547,20.232200622558594
mps-uncap,1.0,18.928050994873047,20.139694213867188,21.20494842529297
mps-uncap,0.5,3.8051605224609375,20.78413963317871,21.361351013183594
mps-uncap,0.6,3.8912296295166016,21.347522735595703,20.844697952270508
mps-uncap,0.7,3.5572052001953125,21.728515625,21.849393844604492
mps-uncap,0.1,4.69207763671875,32.06205368041992,37.27245330810547
mps-uncap,0.2,5.775928497314453,31.52155876159668,31.589031219482422
mps-uncap,0.3,5.784511566162109,29.520750045776367,31.050443649291992
mps-uncap,0.4,7.290363311767578,21.611452102661133,28.369665145874023
