mode,load,0_alexnet-2,1_densenet161-4,2_densenet169-8
mps-uncap,0.8,0.7948875427246094,17.42410659790039,17.320871353149414
mps-uncap,0.9,0.8177757263183594,18.059730529785156,17.091751098632812
mps-uncap,1.0,0.8771419525146484,16.80755615234375,18.428802490234375
mps-uncap,0.5,0.7579326629638672,16.588926315307617,17.394542694091797
mps-uncap,0.6,0.7579326629638672,16.655683517456055,17.438411712646484
mps-uncap,0.7,0.7574558258056641,16.71314239501953,17.39811897277832
mps-uncap,0.1,0.7603168487548828,16.83807373046875,17.691612243652344
mps-uncap,0.2,0.7712841033935547,16.478538513183594,17.249107360839844
mps-uncap,0.3,0.759124755859375,16.428470611572266,17.190933227539062
mps-uncap,0.4,0.7560253143310547,16.62135124206543,17.029762268066406
