mode,load,0_alexnet-2,1_densenet161-4,2_densenet169-8
mps-uncap,0.8,401.2312889099121,1496.5195655822754,520.0138092041016
mps-uncap,0.9,3113.1882667541504,5688.328981399536,1126.8301010131836
mps-uncap,1.0,12633.402824401855,5394.567012786865,12487.634658813477
mps-uncap,0.5,10.797977447509766,120.69129943847656,143.63932609558105
mps-uncap,0.6,17.748117446899414,269.8953151702881,196.9285011291504
mps-uncap,0.7,24.087905883789062,230.85641860961914,312.3962879180908
mps-uncap,0.1,5.238771438598633,66.07580184936523,65.79780578613281
mps-uncap,0.2,6.192445755004883,49.06177520751953,64.63932991027832
mps-uncap,0.3,6.469249725341797,64.35966491699219,58.38298797607422
mps-uncap,0.4,9.799003601074219,102.62918472290039,86.02046966552734
