mode,load,0_alexnet-2,1_densenet161-4,2_densenet169-8
mps-uncap,0.8,320.67906856536865,1267.9093837738037,261.551833152771
mps-uncap,0.9,2923.7624406814575,4969.176530838013,859.7290754318238
mps-uncap,1.0,11519.511127471922,4699.574947357178,10938.21177482605
mps-uncap,0.5,1.842498779296875,31.805706024169925,37.31939792633057
mps-uncap,0.6,3.227424621582032,49.25894737243652,50.068569183349624
mps-uncap,0.7,6.889581680297852,85.8306884765625,96.97608947753908
mps-uncap,0.1,0.41489601135253923,5.654072761535648,9.84301567077637
mps-uncap,0.2,0.8680820465087891,13.017892837524421,14.88175392150879
mps-uncap,0.3,1.0824203491210938,16.50598049163818,16.71633720397949
mps-uncap,0.4,1.2705564498901372,23.190093040466312,20.17107009887697
