mode,load,0_densenet201-8,1_efficientnet_b5-8,2_mobilenet_v3_large-8
mps-uncap,0.6,31.204819679260254,17.000317573547363,8.08870792388916
mig,0.6,27.184128761291504,38.64741325378418,6.966948509216309
mps-uncap,0.7,41.532039642333984,18.242955207824707,9.313464164733887
mig,0.7,35.20989418029785,46.81849479675293,8.764266967773438
mps-uncap,0.8,66.02025032043457,19.330263137817383,13.189077377319336
mig,0.8,44.365882873535156,62.23630905151367,11.32667064666748
mps-uncap,0.9,151.6280174255371,18.19467544555664,70.86062431335449
mig,0.9,71.24507427215576,166.58544540405273,20.85733413696289
mps-uncap,1.0,2966.226816177368,22.191405296325684,3484.79163646698
mig,1.0,272.4282741546631,357.6282262802124,731.926441192627
mps-uncap,1.1,6549.052953720093,28.974056243896484,5842.358589172363
mig,1.1,4100.0611782073975,4017.568588256836,4067.864775657654
mps-uncap,1.2,11327.908277511597,33.77056121826172,8908.331155776978
mig,1.2,6574.230313301086,7944.570302963257,7914.54005241394
mps-uncap,1.3,14646.467447280884,35.85338592529297,11886.354207992554
mig,1.3,10420.448184013367,11084.95306968689,10124.774813652039
