mode,load,0_densenet201-8,1_efficientnet_b5-8,2_mobilenet_v3_large-8
mps-uncap,0.6,231.8960375645082,178.5426517723125,971.1706124759806
mig,0.6,229.76789995342273,179.53528395640336,935.6469480445256
mps-uncap,0.7,268.48771423439234,205.70853086234186,1098.574572306308
mig,0.7,264.4142976888746,208.2957933084746,1101.4102782789184
mps-uncap,0.8,309.28120883072086,238.32984375260713,1245.2839813039964
mig,0.8,305.7215467762006,236.07338577147013,1260.4531016788837
mps-uncap,0.9,342.74601754386066,272.03199384317634,1446.6445246318804
mig,0.9,342.76417155121055,277.37051584946073,1429.9024795348992
mps-uncap,1.0,362.5928886757474,290.34580842579356,1470.767268180875
mig,1.0,378.1536993577914,293.81281730185253,1580.0137297674737
mps-uncap,1.1,355.5995385432337,324.6761777250041,1543.553694099585
mig,1.1,383.29792350512474,295.9972892706616,1588.4840083927074
mps-uncap,1.2,353.09089274510865,353.3343745622812,1548.2932156024176
mig,1.2,391.5069522007283,297.16637347352656,1570.467260308757
mps-uncap,1.3,352.37520072425406,381.0382568262755,1518.5110172751022
mig,1.3,383.1165629881548,294.86470985642814,1588.0477479387557
