mode,load,0_densenet121-16,1_resnet101-4,2_resnet18-8
mps-uncap,0.8,15.895605087280273,13.43679428100586,6.753206253051758
mps-uncap,0.9,17.086505889892578,14.103889465332031,5.701303482055664
mps-uncap,1.0,17.49134063720703,12.738704681396484,5.803823471069336
mps-uncap,0.5,19.109487533569336,14.762639999389648,5.647182464599609
mps-uncap,0.6,17.416954040527344,14.596939086914062,5.533456802368164
mps-uncap,0.7,16.214370727539062,13.604402542114258,5.543708801269531
mps-uncap,0.1,19.367218017578125,15.314817428588867,5.090951919555664
mps-uncap,0.2,20.363330841064453,15.410900115966797,5.61213493347168
mps-uncap,0.3,30.322790145874023,19.336462020874023,5.396127700805664
mps-uncap,0.4,19.855976104736328,15.460491180419922,5.373954772949219
