mode,load,0_efficientnet_b7-16,1_efficientnet_b7-16
mig,0.1,131.66093826293945,159.26051139831543
mig,0.2,159.36875343322754,220.37911415100098
mig,0.3,171.677827835083,218.52970123291016
mig,0.4,196.1369514465332,293.6427593231201
mig,0.5,308.68029594421387,322.16644287109375
mig,0.6,424.2832660675049,421.6747283935547
mig,0.7,407.15646743774414,718.2505130767822
mig,0.8,771.0654735565186,1118.7474727630615
mig,0.9,2737.631320953369,2621.4592456817627
mig,1.0,10680.914640426636,6687.236547470093
