mode,load,0_inception_v3-8,1_resnet101-4,2_vgg13-8
mps-uncap,0.8,273.76404970020354,138.22255751691233,1114.774664716572
mps-uncap,0.9,287.9546134582657,159.89572970789126,1271.3444585124178
mps-uncap,1.0,334.7606657500799,181.1517516641561,1417.9801635491824
mps-uncap,0.5,161.15212868678194,89.44596082395671,699.5445466304643
mps-uncap,0.6,190.47065434444153,105.21735277328561,827.0938139063694
mps-uncap,0.7,237.8516424389626,124.41533465433855,983.7078945789613
mps-uncap,0.1,31.959061868650718,16.848504328872068,140.92909406124133
mps-uncap,0.2,65.27555397410327,35.064701975457396,281.6755800866227
mps-uncap,0.3,107.67482559550432,55.898033307797185,416.5803430206611
mps-uncap,0.4,131.33139845076707,75.22021418122873,541.2228160128778
