mode,load,0_inception_v3-8,1_resnet101-4,2_vgg13-8
mps-uncap,0.8,85.07966995239258,87.96095848083496,88.3636474609375
mps-uncap,0.9,184.6175193786621,156.45623207092285,148.86927604675293
mps-uncap,1.0,1053.5647869110107,2389.76788520813,456.48837089538574
mps-uncap,0.5,28.31435203552246,47.95956611633301,27.745485305786133
mps-uncap,0.6,40.235280990600586,43.86758804321289,49.854278564453125
mps-uncap,0.7,72.83139228820801,59.16142463684082,38.3148193359375
mps-uncap,0.1,7.241487503051758,25.078535079956055,8.296489715576172
mps-uncap,0.2,19.30546760559082,17.64082908630371,12.34745979309082
mps-uncap,0.3,24.311065673828125,27.912139892578125,12.484312057495117
mps-uncap,0.4,32.90081024169922,32.627105712890625,16.561508178710938
