mode,load,0_inception_v3-8,1_resnet101-4,2_vgg13-8
mps-uncap,0.8,72.63628959655762,78.31169128417969,50.164384841918896
mps-uncap,0.9,152.1975183486935,133.73089790344235,90.3677940368652
mps-uncap,1.0,900.7406282424927,2233.992471694946,419.04817342758184
mps-uncap,0.5,32.84855365753177,39.246413707733076,16.68186187744141
mps-uncap,0.6,41.67757987976074,37.861042022705064,30.225534439086825
mps-uncap,0.7,52.84173965454105,48.43298673629759,29.84199523925782
mps-uncap,0.1,17.451791763305664,23.501968383789052,8.163809776306152
mps-uncap,0.2,24.69002723693849,23.483953475952145,9.9227809906006
mps-uncap,0.3,29.708957672119137,29.803278446197513,12.032141685485835
mps-uncap,0.4,28.835201263427713,31.772422790527415,13.438770771026606
