mode,load,0_efficientnet_b6-16,1_efficientnet_b7-8,2_vgg13-16
mps-uncap,0.8,146.0308081124035,59.484167557368856,1137.2362187700207
mps-uncap,0.9,148.9241297068194,71.82989991354538,1325.798919316615
mps-uncap,1.0,167.41012824339487,74.87416022604356,1294.8350913455652
mps-uncap,0.5,93.8699420949889,39.3289318883174,706.3326921095494
mps-uncap,0.6,108.85487748555853,48.24606820249303,849.4492427695575
mps-uncap,0.7,127.58734725323453,57.05022522145465,986.3430260303696
mps-uncap,0.1,17.30031528394489,9.256822983683241,136.5255951268196
mps-uncap,0.2,35.77089950358664,13.368151927332928,277.5309424108929
mps-uncap,0.3,54.4691806113836,21.720680346492202,427.9266908546102
mps-uncap,0.4,62.587547306171814,33.913923190846305,559.2236039559245
