mode,load,0_efficientnet_b5-8,1_mobilenet_v2-2,2_vgg11-16
mps-uncap,0.8,43.849945068359375,16.51167869567871,15.150785446166992
mps-uncap,0.9,45.09139060974121,14.333963394165039,20.896196365356445
mps-uncap,1.0,51.50127410888672,18.235445022583008,16.965866088867188
mps-uncap,0.5,38.996219635009766,13.805866241455078,15.883922576904297
mps-uncap,0.6,40.158987045288086,17.43340492248535,18.62955093383789
mps-uncap,0.7,41.47791862487793,14.182090759277344,12.674808502197266
mps-uncap,0.1,38.12980651855469,13.880014419555664,12.649774551391602
mps-uncap,0.2,38.277387619018555,12.629270553588867,22.076845169067383
mps-uncap,0.3,38.697242736816406,17.095327377319336,19.594907760620117
mps-uncap,0.4,42.2816276550293,11.792898178100586,11.587381362915039
