mode,load,0_efficientnet_b5-8,1_mobilenet_v2-2,2_vgg11-16
mps-uncap,0.8,15.485525131225586,3.9796829223632812,6.072282791137695
mps-uncap,0.9,15.211343765258789,4.126787185668945,6.2427520751953125
mps-uncap,1.0,15.925884246826172,4.073619842529297,6.107568740844727
mps-uncap,0.5,15.260934829711914,3.9658546447753906,5.825996398925781
mps-uncap,0.6,15.147686004638672,4.106283187866211,5.847930908203125
mps-uncap,0.7,15.108823776245117,4.059314727783203,6.009101867675781
mps-uncap,0.1,15.959978103637695,4.12440299987793,5.974769592285156
mps-uncap,0.2,15.120506286621094,4.064083099365234,5.995750427246094
mps-uncap,0.3,15.251636505126953,4.022836685180664,5.966424942016602
mps-uncap,0.4,15.208721160888672,4.013299942016602,5.823373794555664
