mode,load,0_efficientnet_b5-8,1_mobilenet_v2-2,2_vgg11-16
mps-uncap,0.8,149.66656916404344,207.61487456176044,1887.9760811268034
mps-uncap,0.9,171.83407825550736,239.41502670919925,2114.2838962232413
mps-uncap,1.0,187.41140666003773,261.60727591321637,2099.6615727752783
mps-uncap,0.5,104.89241478991198,130.27794982273508,1153.5009142338845
mps-uncap,0.6,117.93010405254219,160.65360184521126,1411.1643966041818
mps-uncap,0.7,140.05668850931954,185.16251819592063,1674.3128943098425
mps-uncap,0.1,20.545169372833318,26.740677364450537,235.3596981809968
mps-uncap,0.2,36.757958719877756,54.025974038982675,472.61528661244637
mps-uncap,0.3,59.12288140047825,80.66521678235856,679.5909606964336
mps-uncap,0.4,72.837982874538,106.60248774585754,906.0360019292291
