mode,load,0_densenet201-4,1_efficientnet_b7-8,2_vgg13-4
mps-uncap,0.8,87.18581435949233,169.4157663792156,768.025951389657
mps-uncap,0.9,96.33694313906945,192.9916059299868,846.7180730776809
mps-uncap,1.0,107.88529556611616,212.02432042158063,969.9707109198785
mps-uncap,0.5,56.130109944028476,102.80037221060505,469.25636857290453
mps-uncap,0.6,67.08859023542485,128.590580552231,570.5087302815584
mps-uncap,0.7,78.34236054644504,144.54149117496584,678.9261397140011
mps-uncap,0.1,11.936200403929915,22.670048408879875,91.59018117155821
mps-uncap,0.2,20.343900362059657,45.74104662147465,186.47673333767327
mps-uncap,0.3,34.46242790312602,64.17941747692463,289.2667927650899
mps-uncap,0.4,43.367420852644486,84.47898052933915,381.69006511059484
