mode,load,0_mobilenet_v3_small-32,1_mobilenet_v3_small-32
mig,0.1,4.055261611938477,3.5953521728515625
mig,0.2,4.05430793762207,3.585338592529297
mig,0.3,4.054546356201172,3.59344482421875
mig,0.4,4.051923751831055,3.5877227783203125
mig,0.5,4.049062728881836,3.5872459411621094
mig,0.6,4.041433334350586,3.5843849182128906
mig,0.7,4.045248031616211,3.5924911499023438
mig,0.8,4.049777984619141,3.589153289794922
mig,0.9,4.044532775878906,3.587007522583008
mig,1.0,4.055976867675781,3.590106964111328
