mode,load,0_mobilenet_v3_small-32,1_mobilenet_v3_small-32
mig,0.1,734.4679764953311,837.6330315376455
mig,0.2,1509.1855588462802,1687.4380185015334
mig,0.3,2260.6886448843024,2526.7730161621257
mig,0.4,2973.730103542435,3322.157005595858
mig,0.5,3640.189879063112,4223.125879368918
mig,0.6,4424.8867415428895,4970.500107752992
mig,0.7,5270.3265356359025,5795.25989753599
mig,0.8,5944.073833483175,6725.168162356397
mig,0.9,6727.631733063529,7599.939728523648
mig,1.0,7552.025336638083,8223.846650458107
